Unnamed: 0,Brand,Model,Year,Price,Город,Кузов,"Объем двигателя, л",Пробег,Коробка передач,Руль,Цвет,Привод,Растаможен в Казахстане,VIN,Аварийная/Не на ходу,Двигатель
3, Hyundai,Creta ,2017,"    7200000
    ₸
",Нур-Султан (Астана),кроссовер,1.6 (бензин),60 000 км,автомат,слева,,передний привод,Да,,,
4, Toyota,Previa ,2008,"    7650000
    ₸
",Казалинск,универсал,2.4 (газ-бензин),,автомат,слева,белый,передний привод,Да,,,
5, BMW,X6 ,2009,"    10150000
    ₸
",Нур-Султан (Астана),кроссовер,3.5 (бензин),132 000 км,автомат,слева,белый,полный привод,Да,,,
6, Hyundai,Tucson ,2019,"    11800000
    ₸
",Нур-Султан (Астана),кроссовер,2 (бензин),28 000 км,автомат,слева,белый металлик,полный привод,Да,,,
7, Toyota,Camry ,2016,"    12600000
    ₸
",Алматы,седан,2.5 (бензин),23 600 км,автомат,слева,белый,передний привод,Да,,,
8, Nissan,Navara ,2008,"    5500000
    ₸
",Усть-Каменогорск,пикап,2.5 (дизель),224 000 км,механика,слева,черный металлик,полный привод,Да,,,
9, ВАЗ (Lada),2192 (хэтчбек) ,2014,"    1870000
    ₸
",Алматы,хэтчбек,1.6 (бензин),131 000 км,механика,слева,белый,передний привод,Да,XTA21921*E0****84,,
10, Honda,Saber ,1999,"    2250000
    ₸
",Усть-Каменогорск,седан,3.2 (бензин),186 000 км,автомат,справа,серебристый,передний привод,Да,,,
11, Mercedes-Benz,ML 350 ,2005,"    6200000
    ₸
",Нур-Султан (Астана),кроссовер,3.5 (газ-бензин),,автомат,слева,серебристый,полный привод,Да,WDC16418*1A****08,,
12, Volkswagen,Golf ,1993,"    1600000
    ₸
",Караганда,хэтчбек,1.6 (бензин),125 000 км,механика,слева,фиолетовый,передний привод,Да,WVWZZZ1H*RW****55,,
13, Lexus,GS 300 ,2007,"    6200000
    ₸
",Талдыкорган,седан,3 (бензин),,автомат,слева,белый,задний привод,Да,,,
14, ГАЗ,ГАЗель ,2013,"    6000000
    ₸
",Костанай,пикап,2.9 (газ-бензин),194 000 км,механика,слева,белый,задний привод,Да,,,
15, Audi,100 ,1992,"    1600000
    ₸
",Жетысай,седан,2.3 (бензин),,механика,слева,серый,передний привод,Да,,,
16, Toyota,Estima ,2006,"    5700000
    ₸
",Нур-Султан (Астана),минивэн,2.4 (бензин),113 703 км,автомат,справа,,полный привод,Да,,,
17, ВАЗ (Lada),2106 ,1989,"    750000
    ₸
",Павлодар,седан,1.3 (бензин),360 км,механика,слева,жёлтый,задний привод,Нет,,,
18, Mercedes-Benz,E 280 ,1993,"    980000
    ₸
",Алматы,седан,2.9 (дизель),,автомат,слева,белый металлик,задний привод,Нет,,,
19, Mercedes-Benz,S 280 ,1982,"    4600009
    ₸
",Алматы,седан,2.8 (бензин),220 000 км,автомат,слева,синий металлик,задний привод,Да,,,
0, Mercedes-Benz,E 280 ,1993,"    980000
    ₸
",Алматы,седан,2.9 (дизель),,автомат,слева,белый металлик,задний привод,Нет,,,
1, Mercedes-Benz,S 280 ,1982,"    4600009
    ₸
",Алматы,седан,2.8 (бензин),220 000 км,автомат,слева,синий металлик,задний привод,Да,,,
2, Volkswagen,Vento ,1993,"    830000
    ₸
",Алматы,седан,1.8 (бензин),,механика,слева,серый,передний привод,Да,,,
3, Nissan,Juke ,2012,"    4850000
    ₸
",Кокшетау,кроссовер,1.6 (бензин),99 000 км,вариатор,слева,бордовый металлик,передний привод,Да,,,
4, Toyota,Camry ,2002,"    5200000
    ₸
",Актобе,седан,2.4 (бензин),188 000 км,автомат,слева,зеленый металлик,передний привод,Да,,,
5, Volkswagen,Passat ,1993,"    1750000
    ₸
",Шымкент,универсал,1.8 (бензин),125 000 км,механика,слева,бежевый,передний привод,Да,,,
6, Nissan,Qashqai ,2016,"    8700000
    ₸
",Алматы,кроссовер,2 (бензин),77 000 км,вариатор,слева,серый металлик,полный привод,Да,,,
7, Toyota,Camry ,2007,"    4400000
    ₸
",Нур-Султан (Астана),седан,2.4 (бензин),168 000 км,автомат,слева,черный,передний привод,Нет,,,
8, Mercedes-Benz,190 ,1993,"    750000
    ₸
",Сатпаев,седан,2 (бензин),,механика,слева,синий,задний привод,Да,,,
9, Brilliance,V5 ,2014,"    4200000
    ₸
",Экибастуз,кроссовер,1.6 (бензин),134 000 км,автомат,слева,черный,передний привод,Да,,,
10, ВАЗ (Lada),2107 ,1999,"    300000
    ₸
",Актобе,седан,1.4 (бензин),111 111 км,механика,слева,зеленый,задний привод,Нет,,,
11, Nissan,Patrol ,1998,"    6000000
    ₸
",Алматы,внедорожник,2.8 (дизель),250 000 км,механика,слева,зеленый,полный привод,Да,,,
12, Mitsubishi,Delica ,2006,"    7250000
    ₸
",Караганда,минивэн,3 (бензин),195 000 км,автомат,справа,черный,полный привод,Да,,,
13, ВАЗ (Lada),2172 (хэтчбек) ,2014,"    2600000
    ₸
",Шымкент,хэтчбек,1.6 (бензин),170 000 км,механика,слева,белый,передний привод,Да,,,
14, Toyota,Land Cruiser ,2003,"    7900000
    ₸
",Нур-Султан (Астана),внедорожник,4.7 (газ-бензин),345 000 км,автомат,слева,белый металлик,,Да,,,
15, Opel,Astra ,2007,"    2000000
    ₸
",Нур-Султан (Астана),хэтчбек,1.6 (бензин),,механика,слева,зеленый металлик,передний привод,Да,,,
16, Toyota,Land Cruiser Prado ,2006,"    11000000
    ₸
",Павлодар,внедорожник,4 (бензин),263 000 км,автомат,слева,золотистый металлик,полный привод,Да,,,
17, Lexus,RX 450h ,2010,"    10000000
    ₸
",Костанай,кроссовер,3.5 (бензин),152 000 км,типтроник,слева,белый,полный привод,Да,,,
18, Nissan,Qashqai ,2012,"    6000000
    ₸
",Петропавловск,кроссовер,1.6 (бензин),188 000 км,вариатор,слева,белый,передний привод,Да,,,
19, Audi,A4 ,2009,"    4300000
    ₸
",Алматы,седан,1.8 (бензин),,вариатор,слева,черный,передний привод,Да,,,
0, Hyundai,Creta ,2018,"    8400000
    ₸
",Алматы,кроссовер,1.6 (бензин),38 000 км,автомат,слева,черный,,Да,,,
1, Mitsubishi,Pajero ,1992,"    2000000
    ₸
",Шымкент,внедорожник,2.5 (дизель),,автомат,справа,,полный привод,Да,,,
2, Suzuki,XL7 ,2002,"    3700000
    ₸
",Алматы,внедорожник,2.7 (бензин),320 000 км,автомат,слева,зеленый металлик,полный привод,Да,,,
3, УАЗ,Pickup ,2013,"    4000000
    ₸
",Капшагай,пикап,2.7 (бензин),92 000 км,механика,слева,золотистый металлик,полный привод,Да,,,
4, Opel,Vectra ,1991,"    900000
    ₸
",Шымкент,седан,1.8 (бензин),,механика,слева,синий,передний привод,Да,,,
5, Mercedes-Benz,ML 350 ,2007,"    4500000
    ₸
",Тарановское,кроссовер,3.5 (газ-бензин),224 км,автомат,слева,коричневый,полный привод,Да,,,
6, Land Rover,Range Rover Sport ,2019,"    42500000
    ₸
",Алматы,внедорожник,3 (бензин),10 500 км,автомат,слева,черный металлик,полный привод,Да,,,
7, Mitsubishi,ASX ,2011,"    5350000
    ₸
",Алматы,кроссовер,2 (бензин),142 000 км,вариатор,слева,черный,передний привод,Да,,,
8, Volkswagen,Golf ,1994,"    1200000
    ₸
",Есик,хэтчбек,1.6 (бензин),130 258 км,механика,слева,,передний привод,Да,,,
9, ВАЗ (Lada),2115 (седан) ,2005,"    880000
    ₸
",Сергеевка,седан,1.5 (бензин),,механика,слева,серебристый,передний привод,Нет,,,
10, Toyota,Camry ,2002,"    4650000
    ₸
",Алматы,седан,2.4 (бензин),,автомат,слева,белый,передний привод,Да,,,
11, Mercedes-Benz,E 200 ,2005,"    4500000
    ₸
",Алматы,седан,1.8 (бензин),180 000 км,автомат,слева,серебристый,задний привод,Да,,,
12, Infiniti,FX35 ,2007,"    7000000
    ₸
",Алматы,кроссовер,3.5 (бензин),,автомат,слева,оранжевый,полный привод,Да,JN8AS77Y*3X****76,,
13, BMW,520 ,1991,"    1600000
    ₸
",Шымкент,седан,2 (бензин),288 945 км,механика,слева,вишня,задний привод,Да,,,
14, Honda,CR-V ,2007,"    5600000
    ₸
",Темиртау,кроссовер,2 (газ-бензин),,автомат,слева,серебристый,полный привод,Да,,,
15, Toyota,Camry ,1994,"    1700000
    ₸
",Алматы,купе,2.2 (бензин),235 000 км,автомат,слева,синий,передний привод,Да,,,
16, ВАЗ (Lada),2121 Нива ,2007,"    1700000
    ₸
",Уральск,внедорожник,1.7 (бензин),,механика,слева,белый,полный привод,Да,,,
17, Chevrolet,Captiva ,2013,"    6900000
    ₸
",Риддер,кроссовер,2.4 (газ-бензин),83 000 км,автомат,слева,серебристый,полный привод,Да,,,
18, Subaru,Impreza WRX STi ,2011,"    8500000
    ₸
",Алматы,хэтчбек,2 (бензин),103 000 км,механика,слева,синий,полный привод,Да,,,
19, Mercedes-Benz,E 240 ,1998,"    3600000
    ₸
",Шымкент,седан,2.4 (бензин),,автомат,слева,серебристый,задний привод,Да,,,
0, Nissan,Micra ,2009,"    3100000
    ₸
",Караганда,хэтчбек,1.2 (бензин),120 000 км,автомат,слева,черный,передний привод,Да,,,
1, ВАЗ (Lada),2114 (хэтчбек) ,2013,"    1750000
    ₸
",Алматы,хэтчбек,1.5 (бензин),,механика,слева,белый,передний привод,Да,,,
2, Toyota,Camry ,2018,"    13500000
    ₸
",Нур-Султан (Астана),седан,2.5 (бензин),36 500 км,автомат,слева,коричневый,передний привод,Да,,,
3, Mercedes-Benz,Sprinter ,2010,"    7500000
    ₸
",Караганда,микроавтобус,2.9 (дизель),370 000 км,механика,слева,белый,задний привод,Да,,,
4, Nissan,Almera ,2014,"    3800000
    ₸
",Шымкент,седан,1.6 (бензин),160 000 км,автомат,слева,синий,передний привод,Да,,,
5, Mitsubishi,Pajero ,1996,"    2800000
    ₸
",Алматы,внедорожник,2.5 (дизель),299 000 км,автомат,справа,белый,полный привод,Да,,,
6, Nissan,Juke ,2011,"    4500000
    ₸
",Караганда,хэтчбек,1.6 (бензин),145 000 км,механика,слева,черный металлик,передний привод,Да,,,
7, Mercedes-Benz,S 63 AMG ,2007,"    8500000
    ₸
",Шымкент,седан,6.3 (бензин),,автомат,слева,,задний привод,Да,,,
8, Toyota,Camry ,2006,"    6100000
    ₸
",Алматы,седан,2.4 (бензин),222 222 км,автомат,слева,,передний привод,Да,,,
9, Toyota,RAV 4 ,2008,"    6200000
    ₸
",Алматы,кроссовер,3.5 (бензин),271 921 км,автомат,слева,белый,передний привод,Да,,,
10, Toyota,4Runner ,2007,"    11000000
    ₸
",Усть-Каменогорск,внедорожник,4.7 (бензин),,автомат,слева,серый,полный привод,Да,,,
