Unnamed: 0,Brand,Model,Year,Price,Город,Кузов,"Объем двигателя, л",Пробег,Коробка передач,Руль,Цвет,Привод,Растаможен в Казахстане,VIN,Аварийная/Не на ходу,Двигатель
16, Toyota,Camry ,2016,"    12600000
    ₸
",Алматы,седан,2.5 (бензин),23 600 км,автомат,слева,белый,передний привод,Да,,,
17, Nissan,Navara ,2008,"    5500000
    ₸
",Усть-Каменогорск,пикап,2.5 (дизель),224 000 км,механика,слева,черный металлик,полный привод,Да,,,
18, ВАЗ (Lada),2192 (хэтчбек) ,2014,"    1870000
    ₸
",Алматы,хэтчбек,1.6 (бензин),131 000 км,механика,слева,белый,передний привод,Да,XTA21921*E0****84,,
19, Honda,Saber ,1999,"    2250000
    ₸
",Усть-Каменогорск,седан,3.2 (бензин),186 000 км,автомат,справа,серебристый,передний привод,Да,,,
0, Skoda,Octavia ,2011,"    3200000
    ₸
",Тараз,лифтбек,1.6 (бензин),164 000 км,механика,слева,серый,передний привод,Да,,,
1, Toyota,Harrier ,1999,"    3000000
    ₸
",Нур-Султан (Астана),кроссовер,2.2 (бензин),,автомат,справа,белый,передний привод,Да,,,
2, Toyota,Land Cruiser Prado ,2010,"    12900000
    ₸
",Алматы,внедорожник,3 (дизель),200 000 км,автомат,слева,белый,полный привод,Да,,,
3, Hyundai,Sonata ,2010,"    5500000
    ₸
",Уральск,седан,2 (бензин),167 000 км,автомат,слева,черный,передний привод,Да,,,
4, Nissan,Primera ,2002,"    2650000
    ₸
",Шымкент,седан,2 (бензин),340 000 км,автомат,слева,серебристый металлик,передний привод,Да,,,
5, Volkswagen,Passat ,2008,"    4400000
    ₸
",Павлодар,седан,1.8 (бензин),290 000 км,типтроник,слева,черный металлик,передний привод,Да,,,
6, Toyota,Land Cruiser ,2010,"    16500000
    ₸
",Нур-Султан (Астана),внедорожник,4.7 (бензин),173 500 км,автомат,слева,серый,полный привод,Да,,,
7, Toyota,Camry ,2014,"    11100000
    ₸
",Алматы,седан,2.5 (бензин),,автомат,слева,,,Да,,,
8, Opel,Zafira ,2000,"    1500000
    ₸
",Жезказган,минивэн,2.2 (бензин),,механика,слева,черный металлик,передний привод,Нет,,,
9, Hyundai,Creta ,2017,"    7200000
    ₸
",Нур-Султан (Астана),кроссовер,1.6 (бензин),60 000 км,автомат,слева,,передний привод,Да,,,
10, Toyota,Previa ,2008,"    7650000
    ₸
",Казалинск,универсал,2.4 (газ-бензин),,автомат,слева,белый,передний привод,Да,,,
11, BMW,X6 ,2009,"    10150000
    ₸
",Нур-Султан (Астана),кроссовер,3.5 (бензин),132 000 км,автомат,слева,белый,полный привод,Да,,,
12, Hyundai,Tucson ,2019,"    11800000
    ₸
",Нур-Султан (Астана),кроссовер,2 (бензин),28 000 км,автомат,слева,белый металлик,полный привод,Да,,,
13, Toyota,Camry ,2016,"    12600000
    ₸
",Алматы,седан,2.5 (бензин),23 600 км,автомат,слева,белый,передний привод,Да,,,
14, Nissan,Navara ,2008,"    5500000
    ₸
",Усть-Каменогорск,пикап,2.5 (дизель),224 000 км,механика,слева,черный металлик,полный привод,Да,,,
15, ВАЗ (Lada),2192 (хэтчбек) ,2014,"    1870000
    ₸
",Алматы,хэтчбек,1.6 (бензин),131 000 км,механика,слева,белый,передний привод,Да,XTA21921*E0****84,,
16, Honda,Saber ,1999,"    2250000
    ₸
",Усть-Каменогорск,седан,3.2 (бензин),186 000 км,автомат,справа,серебристый,передний привод,Да,,,
17, Mercedes-Benz,ML 350 ,2005,"    6200000
    ₸
",Нур-Султан (Астана),кроссовер,3.5 (газ-бензин),,автомат,слева,серебристый,полный привод,Да,WDC16418*1A****08,,
18, Volkswagen,Golf ,1993,"    1600000
    ₸
",Караганда,хэтчбек,1.6 (бензин),125 000 км,механика,слева,фиолетовый,передний привод,Да,WVWZZZ1H*RW****55,,
19, Lexus,GS 300 ,2007,"    6200000
    ₸
",Талдыкорган,седан,3 (бензин),,автомат,слева,белый,задний привод,Да,,,
0, Toyota,Land Cruiser ,2010,"    16500000
    ₸
",Нур-Султан (Астана),внедорожник,4.7 (бензин),173 500 км,автомат,слева,серый,полный привод,Да,,,
1, Toyota,Camry ,2014,"    11100000
    ₸
",Алматы,седан,2.5 (бензин),,автомат,слева,,,Да,,,
2, Opel,Zafira ,2000,"    1500000
    ₸
",Жезказган,минивэн,2.2 (бензин),,механика,слева,черный металлик,передний привод,Нет,,,
